mission_name,launch_year,astronaut_name
STS-118 (Endeavour),2007,"['Alvin Drew', 'Barbara R. Morgan', 'Charles O. Hobaugh', 'Richard A. Mastracchio', 'Dafydd Williams', 'Scott J. Kelly', 'Tracy E. Caldwell Dyson']"
STS-119 (Discovery),2009,"['Lee J. Archambault', 'Dominic A. Antonelli', 'Joseph M. Acaba', 'Steven R. Swanson', 'Richard R. Arnold II', 'John L. Phillips', 'Koichi Wakata']"
STS-120 (Discovery),2007,"['Pamela A. Melroy', 'George D. Zamka', 'Douglas H. Wheelock', 'Stephanie D. Wilson', 'Scott E. Parazynski', 'Paolo Nespoli', 'Daniel M. Tani']"
STS-121 (Discovery),2006,"['Lisa M. Nowak', 'Mark E. Kelly', 'Michael E. Fossum', 'Stephanie D. Wilson', 'Piers J. Sellers', 'Thomas Reiter', 'Steven W. Lindsey']"
STS-122 (Atlantis),2008,"['Alan G. Poindexter', 'Rex J. Walheim', 'Hans Schlegel', 'LÃ©opold Eyharts', 'Leland D. Melvin', 'Stanley G. Love', 'Stephen N. Frick']"
STS-123 (Endeavour),2008,"['Dominic L. P. Gorie', 'Gregory H. Johnson', 'Robert L. Behnken', 'Michael J. Foreman', 'Richard M. Linnehan', 'Takao Doi', 'Garrett E. Reisman']"
STS-124 (Discovery),2008,"['Gregory E. Chamitoff', 'Kenneth T. Ham', 'Mark E. Kelly', 'Michael E. Fossum', 'Ronald J. Garan Jr.', 'Karen L. Nyberg', 'Akihiko Hoshide']"
STS-125 (Atlantis),2009,"['Andrew J. Feustel', 'Gregory C. Johnson', 'Michael T. Good', 'Scott D. Altman', 'K. Megan McArthur', 'John M. Grunsfeld', 'Michael J. Massimino']"
STS-126 (Endeavour),2008,"['Donald R. Pettit', 'Eric A. Boe', 'Heidemarie M. Stefanyshyn-Piper', 'Christopher J. Ferguson', 'Robert S. Kimbrough', 'Sandra H. Magnus', 'Stephen G. Bowen']"
STS-127 (Endeavour),2009,"['Mark L. Polansky', 'Douglas G. Hurley', 'Christopher J. Cassidy', 'Julie Payette', 'Thomas H. Marshburn', 'David A. Wolf', 'Timothy L. Kopra']"
STS-128 (Discovery),2009,"['JosÃ© M. HernÃ¡ndez', 'Kevin A. Ford', 'Nicole P. Stott', 'Frederick W. Sturckow', 'Patrick G. Forrester', 'John D. Olivas', 'Christer Fuglesang']"
STS-129 (Atlantis),2009,"['Barry E. Wilmore', 'Charles O. Hobaugh', 'Leland D. Melvin', 'Randolph J. Bresnik', 'Michael J. Foreman', 'Robert L. Satcher Jr.']"
STS-130 (Endeavour),2010,"['Nicholas J. M. Patrick', 'George D. Zamka', 'Kathryn P. Hire', 'Stephen K. Robinson', 'Robert L. Behnken', 'Terry W. Virts Jr.']"
STS-131 (Discovery),2010,"['Alan G. Poindexter', 'James P. Dutton Jr.', 'Richard A. Mastracchio', 'Dorothy M. Metcalf-Lindenburger', 'Stephanie D. Wilson', 'Naoko Yamazaki', 'Clayton C. Anderson']"
STS-132 (Atlantis),2010,"['Kenneth T. Ham', 'Michael T. Good', 'Dominic A. Antonelli', 'Garrett E. Reisman', 'Piers J. Sellers', 'Stephen G. Bowen']"
STS-133 (Discovery),2011,"['Alvin Drew', 'Eric A. Boe', 'Michael R. Barratt', 'Nicole P. Stott', 'Stephen G. Bowen', 'Steven W. Lindsey']"
STS-134 (Endeavour),2011,"['Andrew J. Feustel', 'Gregory E. Chamitoff', 'Mark E. Kelly', 'Gregory H. Johnson', 'E. Michael Fincke', 'Roberto Vittori']"
STS-135 (Atlantis),2011,"['Christopher J. Ferguson', 'Douglas G. Hurley', 'Sandra H. Magnus', 'Rex J. Walheim']"
STS-2 (Columbia),1981,"['Joe H. Engle', 'Richard H. Truly']"
STS-26 (Discovery),1988,"['Frederick H. Hauck', 'Richard O. Covey', 'John M. Lounge', 'David C. Hilmers', 'George D. Nelson']"
STS-27 (Atlantis),1988,"['Guy S. Gardner', 'Robert L. Gibson', 'Richard M. Mullane', 'Jerry L. Ross', 'William M. Shepherd']"
STS-28 (Columbia),1989,"['Brewster H. Shaw Jr.', 'James C. Adamson', 'Richard N. Richards', 'David C. Leestma', 'Mark N. Brown']"
STS-29 (Discovery),1989,"['Michael L. Coats', 'John E. Blaha', 'Robert C. Springer', 'James F. Buchli', 'James P. Bagian']"
STS-3 (Columbia),1982,"['Jack R. Lousma', 'C. Gordon Fullerton']"
STS-30 (Atlantis),1989,"['David M. Walker', 'Ronald J. Grabe', 'Mark C. Lee', 'Norman E. Thagard', 'Mary L. Cleave']"
STS-31 (Discovery),1990,"['Charles F. Bolden Jr.', 'Steven A. Hawley', 'Kathryn D. Sullivan', 'Bruce McCandless II', 'Loren J. Shriver']"
STS-32 (Columbia),1990,"['Daniel C. Brandenstein', 'James D. Wetherbee', 'Bonnie J. Dunbar', 'G. David Low', 'Marsha S. Ivins']"
STS-33 (Discovery),1989,"['Frederick D. Gregory', 'John E. Blaha', 'Manley L. Carter Jr.', 'F. Story Musgrave', 'Kathryn C. Thornton']"
STS-34 (Atlantis),1989,"['Ellen S. Baker', 'Donald E. Williams', 'Shannon W. Lucid', 'Franklin R. Chang DÃ\xadaz', 'Michael J. McCulley']"
STS-35 (Columbia),1990,"['Guy S. Gardner', 'Vance D. Brand', 'Jeffrey A. Hoffman', 'John M. Lounge', 'Robert A. Parker', 'Ronald A. Parise', 'Samuel T. Durrance']"
STS-36 (Atlantis),1990,"['John O. Creighton', 'John H. Casper', 'Pierre J. Thuot', 'David C. Hilmers', 'Richard M. Mullane']"
STS-37 (Atlantis),1991,"['Kenneth D. Cameron', 'Steven R. Nagel', 'Linda M. Godwin', 'Jerry L. Ross', 'Jerome Apt III']"
STS-38 (Atlantis),1990,"['Richard O. Covey', 'Frank L. Culbertson Jr.', 'Carl J. Meade', 'Robert C. Springer', 'Charles D. Gemar']"
STS-39 (Discovery),1991,"['Charles L. Veach', 'Donald R. McMonagle', 'L. Blaine Hammond Jr.', 'Michael L. Coats', 'Gregory J. Harbaugh', 'Guion S. Bluford Jr.', 'Richard J. Hieb']"
STS-4 (Columbia),1982,"['Thomas K. Mattingly II', 'Henry W. Hartsfield Jr.']"
STS-40 (Columbia),1991,"[""Bryan D. O'Connor"", 'F. Andrew Gaffney', 'Sidney M. Gutierrez', 'James P. Bagian', 'Tamara E. Jernigan', 'Margaret R. Seddon', 'Millie Hughes-Fulford']"
STS-41 (Discovery),1990,"['Richard N. Richards', 'Robert D. Cabana', 'Bruce E. Melnick', 'William M. Shepherd', 'Thomas D. Akers']"
STS-41-B (Challenger),1984,"['Bruce McCandless II', 'Vance D. Brand', 'Robert L. Gibson', 'Ronald E. McNair', 'Robert L. Stewart']"
STS-41-C (Challenger),1984,"['Robert L. Crippen', 'Francis R. Scobee', 'Terry J. Hart', 'James D. van Hoften', 'George D. Nelson']"
STS-41-D (Discovery),1984,"['Henry W. Hartsfield Jr.', 'Michael L. Coats', 'Richard M. Mullane', 'Steven A. Hawley', 'Judith A. Resnik', 'Charles D. Walker']"
STS-41-G (Challenger),1984,"['Robert L. Crippen', 'Jon A. McBride', 'Kathryn D. Sullivan', 'Sally Ride', 'David C. Leestma', 'Paul D. Scully-Power', 'Marc Garneau']"
STS-42 (Discovery),1992,"['Ronald J. Grabe', 'Norman E. Thagard', 'David C. Hilmers', 'Roberta Bondar', 'Ulf Merbold', 'Stephen S. Oswald', 'William F. Readdy']"
STS-43 (Atlantis),1991,"['James C. Adamson', 'John E. Blaha', 'Shannon W. Lucid', 'G. David Low', 'Michael A. Baker']"
STS-44 (Atlantis),1991,"['Frederick D. Gregory', 'Terence T. Henricks', 'James S. Voss', 'F. Story Musgrave', 'Mario Runco Jr.', 'Thomas J. Hennen']"
STS-45 (Atlantis),1992,"['Byron K. Lichtenberg', 'Charles F. Bolden Jr.', 'Brian Duffy', 'Kathryn D. Sullivan', 'David C. Leestma', 'C. Michael Foale', 'Dirk Frimout']"
STS-46 (Atlantis),1992,"['Andrew M. Allen', 'Loren J. Shriver', 'Claude Nicollier', 'Jeffrey A. Hoffman', 'Franklin R. Chang DÃ\xadaz', 'Franco Malerba', 'Marsha S. Ivins']"
STS-47 (Endeavour),1992,"['Robert L. Gibson', 'Curtis L. Brown Jr.', 'Mark C. Lee', 'Jerome Apt III', 'N. Jan Davis', 'Mae C. Jemison', 'Mamoru Mohri']"
STS-48 (Discovery),1991,"['John O. Creighton', 'Kenneth S. Reightler Jr.', 'Charles D. Gemar', 'James F. Buchli', 'Mark N. Brown']"
STS-49 (Endeavour),1992,"['Daniel C. Brandenstein', 'Kevin P. Chilton', 'Richard J. Hieb', 'Bruce E. Melnick', 'Pierre J. Thuot', 'Kathryn C. Thornton', 'Thomas D. Akers']"
STS-5 (Columbia),1982,"['Vance D. Brand', 'Robert F. Overmyer', 'Joseph P. Allen', 'William B. Lenoir']"
STS-50 (Columbia),1992,"['Richard N. Richards', 'Kenneth D. Bowersox', 'Bonnie J. Dunbar', 'Carl J. Meade', 'Ellen S. Baker', 'Eugene H. Trinh', 'Lawrence J. Delucas']"
STS-51 (Discovery),1993,"['Frank L. Culbertson Jr.', 'James H. Newman', 'Carl E. Walz', 'Daniel W. Bursch', 'William F. Readdy']"
STS-51-A (Discovery),1984,"['Frederick H. Hauck', 'David M. Walker', 'Joseph P. Allen', 'Anna L. Fisher', 'Dale A. Gardner']"
STS-51-B (Challenger),1985,"['Robert F. Overmyer', 'Frederick D. Gregory', 'Don L. Lind', 'Norman E. Thagard', 'William E. Thornton', 'Lodewijk van den Berg', 'Taylor G. Wang']"
STS-51-C (Discovery),1985,"['Gary E. Payton', 'Thomas K. Mattingly II', 'Ellison S. Onizuka', 'James F. Buchli', 'Loren J. Shriver']"
STS-51-D (Discovery),1985,"['Karol J. Bobko', 'Donald E. Williams', 'Margaret R. Seddon', 'S. David Griggs', 'Jeffrey A. Hoffman', 'Charles D. Walker', 'Jake Garn']"
STS-51-F (Challenger),1985,"['C. Gordon Fullerton', 'Roy D. Bridges Jr.', 'Karl G. Henize', 'F. Story Musgrave', 'Anthony W. England', 'Loren W. Acton', 'John-David F. Bartoe']"
STS-51-G (Discovery),1985,"['Daniel C. Brandenstein', 'John O. Creighton', 'John M. Fabian', 'Steven R. Nagel', 'Shannon W. Lucid', 'Patrick Baudry', 'Sultan bin Salman Al Saud']"
STS-51-I (Discovery),1985,"['Joe H. Engle', 'Richard O. Covey', 'James D. van Hoften', 'John M. Lounge', 'William F. Fisher']"
STS-51-J (Atlantis),1985,"['Karol J. Bobko', 'Ronald J. Grabe', 'David C. Hilmers', 'Robert L. Stewart', 'William A. Pailes']"
STS-51-L (Challenger),1986,"['Francis R. Scobee', 'Michael J. Smith', 'Ellison S. Onizuka', 'Judith A. Resnik', 'Ronald E. McNair', 'Gregory B. Jarvis', 'S. Christa McAuliffe']"
STS-52 (Columbia),1992,"['James D. Wetherbee', 'William M. Shepherd', 'Tamara E. Jernigan', 'Steve MacLean', 'Charles L. Veach', 'Michael A. Baker']"
STS-53 (Discovery),1992,"['David M. Walker', 'Robert D. Cabana', 'Guion S. Bluford Jr.', 'Michael R. Clifford', 'James S. Voss']"
STS-54 (Columbia),1993,[nan]
STS-54 (Endeavour),1993,"['Donald R. McMonagle', 'John H. Casper', 'Mario Runco Jr.', 'Gregory J. Harbaugh', 'Susan J. Helms']"
STS-55 (Columbia),1993,"['Steven R. Nagel', 'Terence T. Henricks', 'Jerry L. Ross', 'Charles J. Precourt', 'Bernard A. Harris Jr.', 'Ulrich Walter', 'Hans Schlegel']"
STS-56 (Columbia),1993,[nan]
STS-56 (Discovery),1993,"['Kenneth D. Cameron', 'Kenneth D. Cockrell', 'C. Michael Foale', 'Ellen L. Ochoa', 'Stephen S. Oswald']"
STS-57 (Endeavour),1993,"['Ronald J. Grabe', 'Brian Duffy', 'G. David Low', 'Nancy J. Currie-Gregg', 'Peter J. K. Wisoff', 'Janice E. Voss']"
STS-58 (Columbia),1993,"['John E. Blaha', 'Richard A. Searfoss', 'Margaret R. Seddon', 'William S. McArthur Jr.', 'David A. Wolf', 'Shannon W. Lucid', 'Martin J. Fettman']"
STS-59 (Endeavour),1994,"['Sidney M. Gutierrez', 'Kevin P. Chilton', 'Jerome Apt III', 'Michael R. Clifford', 'Linda M. Godwin', 'Thomas D. Jones']"
STS-6 (Challenger),1983,"['Donald H. Peterson', 'Paul J. Weitz', 'Karol J. Bobko', 'F. Story Musgrave']"
STS-60 (Discovery),1994,"['Ronald M. Sega', 'Charles F. Bolden Jr.', 'Kenneth S. Reightler Jr.', 'N. Jan Davis', 'Franklin R. Chang DÃ\xadaz', 'Sergei Krikalev']"
STS-61 (Endeavour),1993,"['Richard O. Covey', 'Kenneth D. Bowersox', 'Kathryn C. Thornton', 'Claude Nicollier', 'Jeffrey A. Hoffman', 'F. Story Musgrave', 'Thomas D. Akers']"
STS-61-A (Challenger),1985,"['Henry W. Hartsfield Jr.', 'Steven R. Nagel', 'Bonnie J. Dunbar', 'James F. Buchli', 'Guion S. Bluford Jr.', 'Reinhard Furrer', 'Ernst Messerschmid', 'Wubbo Ockels']"
STS-61-B (Atlantis),1985,"['Brewster H. Shaw Jr.', ""Bryan D. O'Connor"", 'Jerry L. Ross', 'Charles D. Walker', 'Rodolfo Neri Vela', 'Mary L. Cleave', 'Sherwood C. Spring']"
STS-61-C (Columbia),1986,"['Robert L. Gibson', 'Charles F. Bolden Jr.', 'George D. Nelson', 'Steven A. Hawley', 'Franklin R. Chang DÃ\xadaz', 'Clarence W. Nelson II', 'Robert J. Cenker']"
STS-62 (Columbia),1994,"[nan, 'Andrew M. Allen', 'John H. Casper', 'Pierre J. Thuot', 'Charles D. Gemar', 'Marsha S. Ivins']"
STS-63 (Discovery),1995,"['James D. Wetherbee', 'Eileen M. Collins', 'Bernard A. Harris Jr.', 'C. Michael Foale', 'Janice E. Voss', 'Vladimir G. Titov']"
STS-64 (Discovery),1994,"['Richard N. Richards', 'Carl J. Meade', 'Mark C. Lee', 'Jerry M. Linenger', 'L. Blaine Hammond Jr.', 'Susan J. Helms']"
STS-65 (Columbia),1994,"['Robert D. Cabana', 'James D. Halsell Jr.', 'Richard J. Hieb', 'Carl E. Walz', 'Leroy Chiao', 'Donald A. Thomas', 'Chiaki Mukai']"
STS-66 (Atlantis),1994,"['Curtis L. Brown Jr.', 'Ellen L. Ochoa', 'Joseph R. Tanner', 'Jean-FranÃ§ois Clervoy', 'Scott E. Parazynski', 'Donald R. McMonagle']"
STS-67 (Endeavour),1995,"['John M. Grunsfeld', 'Wendy B. Lawrence', 'Tamara E. Jernigan', 'Ronald A. Parise', 'Samuel T. Durrance', 'Stephen S. Oswald', 'William G. Gregory']"
STS-68 (Endeavour),1994,"['Terrence W. Wilcutt', 'Steven L. Smith', 'Peter J. K. Wisoff', 'Thomas D. Jones', 'Daniel W. Bursch', 'Michael A. Baker']"
STS-69 (Endeavour),1995,"['Kenneth D. Cockrell', 'David M. Walker', 'James S. Voss', 'James H. Newman', 'Michael L. Gernhardt']"
STS-7 (Challenger),1983,"['Robert L. Crippen', 'Frederick H. Hauck', 'John M. Fabian', 'Sally Ride', 'Norman E. Thagard']"
STS-70 (Discovery),1995,"['Kevin R. Kregel', 'Mary E. Weber', 'Terence T. Henricks', 'Donald A. Thomas', 'Nancy J. Currie-Gregg']"
STS-71 (Atlantis),1995,"['Ellen S. Baker', 'Robert L. Gibson', 'Charles J. Precourt', 'Gregory J. Harbaugh', 'Bonnie J. Dunbar', 'Anatoly Solovyev', 'Nikolai Budarin']"
STS-72 (Endeavour),1996,"['Brent W. Jett', 'Brian Duffy', 'Leroy Chiao', 'Koichi Wakata', 'Daniel T. Barry', 'Winston E. Scott']"
STS-73 (Columbia),1995,"['Kenneth D. Bowersox', 'Kent V. Rominger', 'Catherine G. Coleman', 'Michael E. LÃ³pez-AlegrÃ\xada', 'Kathryn C. Thornton', 'Frederick W. Leslie', 'Albert Sacco Jr.']"
STS-74 (Atlantis),1995,"['Kenneth D. Cameron', 'James D. Halsell Jr.', 'Chris Hadfield', 'Jerry L. Ross', 'William S. McArthur Jr.']"
STS-75 (Columbia),1996,"['Andrew M. Allen', 'Scott J. Horowitz', 'Jeffrey A. Hoffman', 'Maurizio Cheli', 'Claude Nicollier', 'Franklin R. Chang DÃ\xadaz', 'Umberto Guidoni']"
STS-76 (Atlantis),1996,"['Kevin P. Chilton', 'Richard A. Searfoss', 'Michael R. Clifford', 'Linda M. Godwin', 'Shannon W. Lucid', 'Ronald M. Sega']"
STS-77 (Endeavour),1996,"['Daniel W. Bursch', 'John H. Casper', 'Curtis L. Brown Jr.', 'Andrew S. W. Thomas', 'Mario Runco Jr.', 'Marc Garneau']"
STS-78 (Columbia),1996,"['Charles E. Brady Jr.', 'Terence T. Henricks', 'Richard M. Linnehan', 'Jean-Jacques Favier', 'Robert Thirsk', 'Kevin R. Kregel', 'Susan J. Helms']"
STS-79 (Atlantis),1996,"['Terrence W. Wilcutt', 'Jerome Apt III', 'Thomas D. Akers', 'Carl E. Walz', 'John E. Blaha', 'William F. Readdy']"
STS-8 (Challenger),1983,"['Richard H. Truly', 'Daniel C. Brandenstein', 'Guion S. Bluford Jr.', 'Dale A. Gardner', 'William E. Thornton']"
STS-80 (Columbia),1996,"['Kenneth D. Cockrell', 'Kent V. Rominger', 'F. Story Musgrave', 'Thomas D. Jones', 'Tamara E. Jernigan']"
STS-81 (Atlantis),1997,"['Brent W. Jett', 'Peter J. K. Wisoff', 'John M. Grunsfeld', 'Jerry M. Linenger', 'Marsha S. Ivins', 'Michael A. Baker']"
STS-82 (Discovery),1997,"['Kenneth D. Bowersox', 'Scott J. Horowitz', 'Joseph R. Tanner', 'Steven A. Hawley', 'Gregory J. Harbaugh', 'Mark C. Lee', 'Steven L. Smith']"
STS-83 (Columbia),1997,"['James D. Halsell Jr.', 'Susan L. Kilrain Still', 'Janice E. Voss', 'Michael L. Gernhardt', 'Donald A. Thomas', 'Roger K. Crouch', 'Gregory T. Linteris']"
STS-84 (Atlantis),1997,"['Carlos I. Noriega', 'Charles J. Precourt', 'Eileen M. Collins', 'Jean-FranÃ§ois Clervoy', 'Edward T. Lu', 'Yelena V. Kondakova', 'C. Michael Foale']"
STS-85 (Discovery),1997,"['Curtis L. Brown Jr.', 'Kent V. Rominger', 'N. Jan Davis', 'Robert L. Curbeam Jr.', 'Stephen K. Robinson', 'Bjarni Tryggvason']"
STS-86 (Atlantis),1997,"['James D. Wetherbee', 'Michael J. Bloomfield', 'Vladimir G. Titov', 'Scott E. Parazynski', 'Jean-Loup ChrÃ©tien', 'Wendy B. Lawrence', 'David A. Wolf']"
